epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,28.4361,1.06249,0.7642,0.94839,0.90664,0.95353,0.95212,0.61196,1.2868,0.70004,1.0835,0.000622615,0.000622615,0.000622615
59,28.8978,1.06533,0.75115,0.94565,0.91495,0.95353,0.94558,0.6151,1.28819,0.6975,1.08052,0.000608468,0.000608468,0.000608468
60,29.3588,1.00491,0.7219,0.92793,0.91952,0.95353,0.94199,0.60649,1.30101,0.68535,1.08031,0.000594321,0.000594321,0.000594321
61,29.8145,1.06655,0.73186,0.95316,0.92656,0.95353,0.93879,0.62047,1.27771,0.6761,1.06435,0.000580174,0.000580174,0.000580174
62,30.2796,1.02464,0.70422,0.9209,0.92603,0.95337,0.93383,0.61714,1.26529,0.67394,1.06708,0.000566027,0.000566027,0.000566027
63,30.7471,1.03346,0.70341,0.91256,0.92451,0.95317,0.93308,0.61576,1.26279,0.67314,1.06727,0.00055188,0.00055188,0.00055188
64,31.2096,1.02571,0.68859,0.92165,0.91308,0.95353,0.92903,0.60607,1.30391,0.67427,1.0816,0.000537733,0.000537733,0.000537733
65,31.6787,1.00292,0.68688,0.90682,0.92256,0.95353,0.93295,0.58025,1.31541,0.67962,1.07855,0.000523586,0.000523586,0.000523586
66,32.1398,1.0163,0.68665,0.90668,0.92627,0.95353,0.93385,0.59657,1.29847,0.66524,1.06593,0.000509438,0.000509438,0.000509438
67,32.6141,0.97303,0.69223,0.92859,0.92622,0.95353,0.93546,0.59485,1.32121,0.65075,1.0617,0.000495291,0.000495291,0.000495291
68,33.0789,1.01869,0.70242,0.91983,0.92551,0.95353,0.93858,0.60889,1.31735,0.65016,1.06554,0.000481144,0.000481144,0.000481144
69,33.5527,1.02662,0.68951,0.93131,0.9215,0.95353,0.9401,0.60077,1.30522,0.65493,1.06719,0.000466997,0.000466997,0.000466997
70,34.0169,0.9962,0.67666,0.90857,0.92009,0.95353,0.9413,0.59609,1.31253,0.65606,1.08621,0.00045285,0.00045285,0.00045285
71,34.488,0.98993,0.70116,0.92989,0.91718,0.95353,0.94857,0.59639,1.30359,0.65651,1.09653,0.000438703,0.000438703,0.000438703
72,34.9346,0.97349,0.68232,0.91615,0.91538,0.95353,0.95378,0.60332,1.27528,0.64648,1.08517,0.000424556,0.000424556,0.000424556
73,35.4055,1.02005,0.6821,0.89952,0.91025,0.95353,0.95556,0.61345,1.24493,0.62921,1.07835,0.000410409,0.000410409,0.000410409
74,35.8771,0.96659,0.66582,0.88238,0.93075,0.95353,0.95671,0.60962,1.24588,0.62442,1.08438,0.000396262,0.000396262,0.000396262
75,36.3454,0.97775,0.66025,0.91491,0.93614,0.94783,0.95685,0.60823,1.26284,0.62257,1.08426,0.000382115,0.000382115,0.000382115
76,36.8149,1.00239,0.6788,0.92608,0.93936,0.94896,0.95609,0.61568,1.26997,0.62028,1.09008,0.000367967,0.000367967,0.000367967
77,37.274,0.99855,0.66251,0.91024,0.94139,0.95353,0.95508,0.59352,1.30221,0.62796,1.11705,0.00035382,0.00035382,0.00035382
78,37.747,0.99355,0.67834,0.91184,0.93936,0.95353,0.95308,0.58449,1.30285,0.62919,1.12283,0.000339673,0.000339673,0.000339673
79,38.2192,1.00304,0.68424,0.94805,0.93844,0.95353,0.95215,0.59746,1.27753,0.62693,1.10068,0.000325526,0.000325526,0.000325526
80,38.6879,0.95373,0.64466,0.90198,0.93941,0.95353,0.95128,0.60588,1.25969,0.61821,1.08483,0.000311379,0.000311379,0.000311379
81,39.1619,0.98221,0.67641,0.91186,0.94457,0.94524,0.95202,0.61622,1.24642,0.61021,1.07345,0.000297232,0.000297232,0.000297232
82,39.6211,0.98082,0.66382,0.93092,0.947,0.94311,0.95213,0.62751,1.2478,0.61095,1.07376,0.000283085,0.000283085,0.000283085
83,40.0943,0.93223,0.65391,0.91103,0.94629,0.94311,0.95245,0.62006,1.24546,0.60819,1.06684,0.000268938,0.000268938,0.000268938
84,40.5561,0.97556,0.6393,0.91193,0.94433,0.95353,0.95025,0.62231,1.2529,0.60863,1.07334,0.000254791,0.000254791,0.000254791
85,41.0284,0.98336,0.65998,0.91898,0.943,0.95353,0.95004,0.61978,1.23567,0.60442,1.06127,0.000240644,0.000240644,0.000240644
86,41.4996,0.99438,0.67094,0.94478,0.96249,0.943,0.95125,0.61952,1.23009,0.60455,1.05685,0.000226497,0.000226497,0.000226497
87,41.9658,0.98232,0.64744,0.90203,0.96048,0.94259,0.95209,0.61626,1.21657,0.61122,1.05194,0.000212349,0.000212349,0.000212349
88,42.4324,0.94856,0.62755,0.89112,0.93995,0.95353,0.95103,0.61979,1.22164,0.61189,1.04824,0.000198202,0.000198202,0.000198202
89,42.8993,0.95897,0.6303,0.91619,0.96019,0.94569,0.95021,0.6163,1.22689,0.61341,1.04958,0.000184055,0.000184055,0.000184055
90,43.3689,0.91469,0.66509,0.90269,0.96021,0.94493,0.94978,0.61751,1.23608,0.60962,1.04831,0.000169908,0.000169908,0.000169908
91,44.484,0.98832,0.7082,0.93432,0.95915,0.95353,0.95065,0.61448,1.23862,0.59805,1.0482,0.000155761,0.000155761,0.000155761
92,44.9533,0.97415,0.71257,0.91526,0.95818,0.95304,0.9514,0.63072,1.24262,0.59391,1.0504,0.000141614,0.000141614,0.000141614
93,45.4679,0.96545,0.68975,0.91799,0.97032,0.94702,0.9509,0.62009,1.24087,0.60001,1.04847,0.000127467,0.000127467,0.000127467
94,45.9275,0.95031,0.71106,0.91609,0.97025,0.94425,0.95073,0.62175,1.24315,0.60536,1.0453,0.00011332,0.00011332,0.00011332
95,46.3914,0.95381,0.68938,0.90027,0.95594,0.95092,0.9496,0.61856,1.24382,0.61739,1.0472,9.91726e-05,9.91726e-05,9.91726e-05
96,46.8454,0.91676,0.68642,0.89278,0.95546,0.95069,0.94888,0.61673,1.25235,0.62655,1.04857,8.50255e-05,8.50255e-05,8.50255e-05
97,47.3105,0.95194,0.67938,0.90761,0.95551,0.95034,0.9483,0.61787,1.25644,0.62701,1.04813,7.08784e-05,7.08784e-05,7.08784e-05
98,47.7759,0.96407,0.69167,0.91104,0.95528,0.9498,0.94819,0.62488,1.2567,0.62633,1.04976,5.67313e-05,5.67313e-05,5.67313e-05
99,48.2375,0.95716,0.69492,0.89476,0.95544,0.94071,0.94727,0.61915,1.25801,0.61964,1.05004,4.25842e-05,4.25842e-05,4.25842e-05
100,48.6962,0.93877,0.69101,0.90205,0.95505,0.94071,0.94672,0.62021,1.25858,0.61572,1.05084,2.84371e-05,2.84371e-05,2.84371e-05
